Tanggal_Kosong,Hari
2015-12-09,Wednesday
2015-12-24,Thursday
2015-12-25,Friday
2015-12-31,Thursday
2016-01-01,Friday
2016-02-08,Monday
2016-03-09,Wednesday
2016-03-25,Friday
2016-05-05,Thursday
2016-05-06,Friday
2016-07-04,Monday
2016-07-05,Tuesday
2016-07-06,Wednesday
2016-07-07,Thursday
2016-07-08,Friday
2016-08-17,Wednesday
2016-09-12,Monday
2016-12-12,Monday
2016-12-26,Monday
2017-01-02,Monday
2017-02-15,Wednesday
2017-03-28,Tuesday
2017-04-14,Friday
2017-04-19,Wednesday
2017-04-24,Monday
2017-05-01,Monday
2017-05-11,Thursday
2017-05-25,Thursday
2017-06-01,Thursday
2017-06-23,Friday
2017-06-26,Monday
2017-06-27,Tuesday
2017-06-28,Wednesday
2017-06-29,Thursday
2017-06-30,Friday
2017-08-17,Thursday
2017-09-01,Friday
2017-09-21,Thursday
2017-12-01,Friday
2017-12-25,Monday
2017-12-26,Tuesday
2018-01-01,Monday
2018-02-16,Friday
2018-03-30,Friday
2018-05-01,Tuesday
2018-05-10,Thursday
2018-05-29,Tuesday
2018-06-01,Friday
2018-06-11,Monday
2018-06-12,Tuesday
2018-06-13,Wednesday
2018-06-14,Thursday
2018-06-15,Friday
2018-06-18,Monday
2018-06-19,Tuesday
2018-08-17,Friday
2018-08-22,Wednesday
2018-09-11,Tuesday
2018-11-20,Tuesday
2018-12-24,Monday
2018-12-25,Tuesday
2018-12-31,Monday
2019-01-01,Tuesday
2019-02-05,Tuesday
2019-03-07,Thursday
2019-04-03,Wednesday
2019-04-17,Wednesday
2019-04-19,Friday
2019-05-01,Wednesday
2019-05-30,Thursday
2019-06-03,Monday
2019-06-04,Tuesday
2019-06-05,Wednesday
2019-06-06,Thursday
2019-06-07,Friday
2019-12-24,Tuesday
2019-12-25,Wednesday
2019-12-31,Tuesday
2020-01-01,Wednesday
2020-03-25,Wednesday
2020-04-10,Friday
2020-05-01,Friday
2020-05-07,Thursday
2020-05-21,Thursday
2020-05-22,Friday
2020-05-25,Monday
2020-06-01,Monday
2020-07-31,Friday
2020-08-17,Monday
2020-08-20,Thursday
2020-08-21,Friday
2020-10-28,Wednesday
2020-10-29,Thursday
2020-10-30,Friday
2020-12-09,Wednesday
2020-12-24,Thursday
2020-12-25,Friday
2020-12-31,Thursday
2021-01-01,Friday
2021-02-12,Friday
2021-03-11,Thursday
2021-04-02,Friday
2021-05-12,Wednesday
2021-05-13,Thursday
2021-05-14,Friday
2021-05-26,Wednesday
2021-06-01,Tuesday
2021-07-20,Tuesday
2021-08-11,Wednesday
2021-08-17,Tuesday
2021-10-20,Wednesday
2021-12-31,Friday
2022-02-01,Tuesday
2022-02-28,Monday
2022-03-03,Thursday
2022-04-15,Friday
2022-04-29,Friday
2022-05-02,Monday
2022-05-03,Tuesday
2022-05-04,Wednesday
2022-05-05,Thursday
2022-05-06,Friday
2022-05-16,Monday
2022-05-26,Thursday
2022-06-01,Wednesday
2022-08-17,Wednesday
2023-01-23,Monday
2023-03-22,Wednesday
2023-03-23,Thursday
2023-04-07,Friday
2023-04-19,Wednesday
2023-04-20,Thursday
2023-04-21,Friday
2023-04-24,Monday
2023-04-25,Tuesday
2023-05-01,Monday
2023-05-18,Thursday
2023-06-01,Thursday
2023-06-02,Friday
2023-06-28,Wednesday
2023-06-29,Thursday
2023-06-30,Friday
2023-07-19,Wednesday
2023-08-17,Thursday
2023-09-28,Thursday
2023-12-25,Monday
2023-12-26,Tuesday
2024-01-01,Monday
2024-02-08,Thursday
2024-02-09,Friday
2024-02-14,Wednesday
2024-03-11,Monday
2024-03-12,Tuesday
2024-03-29,Friday
2024-04-08,Monday
2024-04-09,Tuesday
2024-04-10,Wednesday
2024-04-11,Thursday
2024-04-12,Friday
2024-04-15,Monday
2024-05-01,Wednesday
2024-05-09,Thursday
2024-05-10,Friday
2024-05-23,Thursday
2024-05-24,Friday
2024-06-17,Monday
2024-06-18,Tuesday
2024-09-16,Monday
2024-11-27,Wednesday
2024-12-25,Wednesday
2024-12-26,Thursday
2024-12-31,Tuesday
2025-01-01,Wednesday
2025-01-27,Monday
2025-01-28,Tuesday
2025-01-29,Wednesday
2025-03-28,Friday
2025-03-31,Monday
2025-04-01,Tuesday
2025-04-02,Wednesday
2025-04-03,Thursday
2025-04-04,Friday
2025-04-07,Monday
2025-04-18,Friday
2025-05-01,Thursday
2025-05-12,Monday
2025-05-13,Tuesday
2025-05-29,Thursday
2025-05-30,Friday
2025-06-06,Friday
2025-06-09,Monday
2025-06-27,Friday
2025-08-18,Monday
2025-09-05,Friday
