Tanggal,Prediksi (Rp)
23 October 2025,7195.86
24 October 2025,7183.76
27 October 2025,7171.46
28 October 2025,7160.4
29 October 2025,7150.01
30 October 2025,7140.75
31 October 2025,7130.52
03 November 2025,7120.08
04 November 2025,7109.2
05 November 2025,7097.33
06 November 2025,7085.9
07 November 2025,7074.68
10 November 2025,7063.95
11 November 2025,7054.58
12 November 2025,7044.84
13 November 2025,7034.89
14 November 2025,7024.19
17 November 2025,7013.89
18 November 2025,7003.19
19 November 2025,6993.17
20 November 2025,6984.1
21 November 2025,6975.3
24 November 2025,6967.39
25 November 2025,6960.47
26 November 2025,6953.69
27 November 2025,6945.81
28 November 2025,6938.09
01 December 2025,6930.06
02 December 2025,6922.4
03 December 2025,6915.28
