Tanggal,Prediksi (Rp)
23 October 2025,7159.03
24 October 2025,7160.4
27 October 2025,7176.62
28 October 2025,7189.11
29 October 2025,7210.05
30 October 2025,7220.55
31 October 2025,7205.97
03 November 2025,7197.84
04 November 2025,7178.16
05 November 2025,7161.42
06 November 2025,7157.72
07 November 2025,7157.57
10 November 2025,7129.57
11 November 2025,7110.46
12 November 2025,7098.17
13 November 2025,7089.14
14 November 2025,7071.88
17 November 2025,7057.27
18 November 2025,7040.25
19 November 2025,7032.54
20 November 2025,7034.58
21 November 2025,7024.72
24 November 2025,7005.37
25 November 2025,6986.11
26 November 2025,6975.42
27 November 2025,6969.2
28 November 2025,6965.34
01 December 2025,6958.81
02 December 2025,6948.33
03 December 2025,6937.48
