Tanggal,Prediksi (Rp)
23 October 2025,7187.07
24 October 2025,7203.95
27 October 2025,7215.55
28 October 2025,7232.14
29 October 2025,7225.97
30 October 2025,7229.47
31 October 2025,7219.53
03 November 2025,7202.67
04 November 2025,7191.55
05 November 2025,7167.69
06 November 2025,7147.35
07 November 2025,7127.14
10 November 2025,7101.12
11 November 2025,7087.63
12 November 2025,7082.1
13 November 2025,7082.17
14 November 2025,7077.07
17 November 2025,7075.26
18 November 2025,7067.87
19 November 2025,7054.58
20 November 2025,7048.97
21 November 2025,7041.67
24 November 2025,7030.42
25 November 2025,7023.2
26 November 2025,7027.29
27 November 2025,7027.42
28 November 2025,7029.11
01 December 2025,7023.48
02 December 2025,7012.41
03 December 2025,7007.06
